City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,adamstown,-25.066,-130.1015,22.85,85,100,7.76,PN,1699922950
1,bethel,41.3712,-73.414,6.08,75,75,1.54,US,1699922904
2,blackmans bay,-43.0167,147.3167,17.51,42,23,5.28,AU,1699922950
3,touros,-5.1989,-35.4608,26.68,79,94,5.27,BR,1699922951
4,anadyr,64.75,177.4833,-11.72,72,13,10.0,RU,1699922951
5,puerto natales,-51.7236,-72.4875,1.06,85,87,3.51,CL,1699922951
6,gadzhiyevo,69.2551,33.3362,-8.77,96,87,1.01,RU,1699922951
7,turkmenbasy,40.0222,52.9552,12.43,94,100,0.0,TM,1699922951
8,ust-nera,64.5667,143.2,-28.83,97,59,2.16,RU,1699922951
9,atafu village,-8.5421,-172.5159,28.29,81,100,5.58,TK,1699922951
10,antofagasta,-23.65,-70.4,16.6,71,42,2.72,CL,1699922885
11,kudahuvadhoo,2.6708,72.8944,27.38,74,97,1.78,MV,1699922952
12,port-aux-francais,-49.35,70.2167,6.69,97,100,16.34,TF,1699922663
13,whitehorse,60.7161,-135.0538,-4.43,85,100,7.72,CA,1699922730
14,masterton,-40.9597,175.6575,17.71,44,100,6.52,NZ,1699922952
15,waitangi,-43.9535,-176.5597,13.21,88,1,9.08,NZ,1699922664
16,grytviken,-54.2811,-36.5092,2.29,98,100,3.44,GS,1699922665
17,avarua,-21.2078,-159.775,24.03,60,75,4.63,CK,1699922689
18,tiksi,71.6872,128.8694,-15.17,93,100,2.61,RU,1699922953
19,longyearbyen,78.2186,15.6401,-10.09,85,100,4.12,SJ,1699922953
20,peniche,39.3558,-9.3811,16.36,90,100,2.44,PT,1699922953
21,nar'yan-mar,67.6713,53.087,-11.05,88,100,4.02,RU,1699922953
22,port elizabeth,-33.918,25.5701,17.16,86,100,5.14,ZA,1699922953
23,ghat,24.9647,10.1728,18.21,40,0,2.19,LY,1699922954
24,sansanne-mango,10.3592,0.4708,25.98,27,5,1.74,TG,1699922954
25,hamina,60.5697,27.1979,-0.38,91,96,4.28,FI,1699922954
26,nemuro,43.3236,145.575,4.75,58,14,8.24,JP,1699922699
27,remire-montjoly,4.9167,-52.2667,26.02,89,0,1.54,GF,1699922954
28,qaqortoq,60.7167,-46.0333,-5.14,93,100,1.62,GL,1699922672
29,kota belud,6.351,116.4305,28.62,71,62,0.93,MY,1699922954
30,college,64.8569,-147.8028,-2.03,91,100,2.57,US,1699922955
31,guerrero negro,27.9769,-114.0611,20.89,54,100,4.59,MX,1699922779
32,codrington,-38.2667,141.9667,15.67,62,100,4.18,AU,1699922695
33,sechura,-5.5569,-80.8222,21.23,77,12,7.8,PE,1699922955
34,topeka,39.0483,-95.678,14.56,40,0,0.0,US,1699922275
35,cockburn town,21.4612,-71.1419,28.13,76,16,8.32,TC,1699922957
36,edinburgh of the seven seas,-37.0676,-12.3116,13.62,77,8,11.32,SH,1699922957
37,smara,26.7384,-11.6719,24.42,21,5,3.25,EH,1699922957
38,wailua homesteads,22.0669,-159.378,29.24,83,100,6.17,US,1699922692
39,ilulissat,69.2167,-51.1,-3.99,63,75,7.2,GL,1699922958
40,prieska,-29.6641,22.7474,18.0,36,2,7.39,ZA,1699922958
41,iqaluit,63.7506,-68.5145,-17.95,64,0,2.57,CA,1699922958
42,happy valley-goose bay,53.3168,-60.3315,-3.83,74,40,5.66,CA,1699922959
43,isafjordur,66.0755,-23.124,1.61,86,57,2.89,IS,1699922959
44,duekoue,6.7472,-7.3496,22.6,93,32,0.25,CI,1699922959
45,utrik,11.2278,169.8474,28.16,81,100,7.99,MH,1699922959
46,greymouth,-42.4667,171.2,13.71,97,100,4.37,NZ,1699922724
47,crane,31.3974,-102.3501,11.2,83,100,3.49,US,1699922959
48,bikenibeu village,1.3673,173.1241,30.98,79,75,4.12,KI,1699922960
49,port shepstone,-30.7414,30.455,17.69,73,100,5.81,ZA,1699922960
50,isangel,-19.55,169.2667,26.06,69,75,3.09,VU,1699922960
51,kuqa,41.7278,82.9364,2.64,26,5,1.44,CN,1699922960
52,martuk,50.7475,56.5056,5.11,71,100,6.73,KZ,1699922960
53,iskateley,67.6803,53.1512,-11.1,88,100,4.02,RU,1699922961
54,hawaiian paradise park,19.5933,-154.9731,27.73,69,40,3.6,US,1699922961
55,xiaoshi,41.2971,124.1209,2.03,51,95,0.54,CN,1699922961
56,al muwayh,22.4333,41.7583,23.48,36,92,4.44,SA,1699922961
57,tambacounda,13.7539,-13.7586,22.03,68,0,1.03,SN,1699922962
58,west island,-12.1568,96.8225,26.99,78,75,4.12,CC,1699922962
59,souillac,-20.5167,57.5167,22.21,94,75,1.54,MU,1699922962
60,ushuaia,-54.8,-68.3,2.81,75,40,8.75,AR,1699922888
61,nova sintra,14.8667,-24.7167,23.72,72,100,5.32,CV,1699922962
62,luderitz,-26.6481,15.1594,15.28,81,0,1.94,NA,1699922684
63,yatou,37.15,122.3833,6.54,47,100,3.3,CN,1699922963
64,ribeira grande,38.5167,-28.7,15.99,90,100,1.34,PT,1699922963
65,yuzhno-kurilsk,44.0306,145.8556,2.43,80,77,10.27,RU,1699922963
66,invercargill,-46.4,168.35,14.99,55,74,4.96,NZ,1699922963
67,katsuura,35.1333,140.3,13.9,42,0,0.47,JP,1699922963
68,keflavik,64.0049,-22.5624,7.24,65,0,7.72,IS,1699922694
69,puerto ayora,-0.7393,-90.3518,23.64,97,100,1.34,EC,1699922964
70,yellowknife,62.456,-114.3525,-6.71,86,100,2.06,CA,1699922964
71,general conesa,-40.1,-64.4333,19.54,21,9,10.43,AR,1699922965
72,nova vicosa,-17.8919,-39.3719,24.84,81,83,7.37,BR,1699922904
73,san antonio de pale,-1.4014,5.6325,26.17,81,31,3.48,GQ,1699922965
74,kununurra,-15.7667,128.7333,31.99,66,99,1.03,AU,1699922965
75,badger,64.8,-147.5333,-2.07,93,100,2.57,US,1699922965
76,terenozek,45.05,64.9833,3.54,70,86,5.96,KZ,1699922966
77,bilibino,68.0546,166.4372,-27.84,100,100,1.88,RU,1699922966
78,sambava,-14.2667,50.1667,22.75,88,17,2.04,MG,1699922966
79,jabat,7.75,168.9751,27.33,83,100,5.42,MH,1699922966
80,kristiansund,63.1115,7.732,0.36,69,100,2.57,NO,1699922966
81,brisas de zicatela,15.8369,-97.0419,29.29,58,40,1.54,MX,1699922966
82,nurota,40.5614,65.6886,6.94,35,35,1.5,UZ,1699922967
83,somerset,40.5668,-74.5496,8.92,72,0,0.45,US,1699922701
84,jayapura,-2.5333,140.7,29.66,71,97,1.09,ID,1699922967
85,zhalantun,48.0,122.7167,-7.16,78,8,1.78,CN,1699922967
86,uturoa,-16.7333,-151.4333,26.95,83,61,6.91,PF,1699922967
87,scarborough,54.2797,-0.4044,10.92,84,64,3.13,GB,1699922745
88,malvan,16.0667,73.4667,25.25,58,95,1.92,IN,1699922968
89,kapa'a,22.0752,-159.319,29.99,84,100,6.17,US,1699922968
90,punta arenas,-53.15,-70.9167,3.06,70,20,8.23,CL,1699922718
91,sursk,53.0754,45.6846,5.25,87,100,5.17,RU,1699922968
